PRISM Time Series Data,
1986-05,55.05
1986-06,0
1986-07,0.76
1986-08,0
1986-09,154.65
1986-10,19.61
1986-11,27.62
1986-12,48.86
1987-01,185.14
1987-02,219.86
1987-03,222.53
1987-04,20.91
1987-05,56.03
1987-06,8.43
1987-07,4
1987-08,0
1987-09,0
1987-10,49.78
1987-11,97.96
1987-12,394.07
1988-01,260.78
1988-02,12.53
1988-03,52.03
1988-04,116.57
1988-05,77.61
1988-06,29.6
1988-07,1.29
1988-08,0
1988-09,5.62
1988-10,1.84
1988-11,449.42
1988-12,200.67
1989-01,109.96
1989-02,161.57
1989-03,587.23
1989-04,101.07
1989-05,36.92
1989-06,22.69
1989-07,0
1989-08,29.56
1989-09,89.82
1989-10,196.16
1989-11,130.48
1989-12,0
1990-01,241.99
1990-02,189.87
1990-03,120.2
1990-04,75.47
1990-05,192.57
1990-06,10.85
1990-07,7.44
1990-08,3.21
1990-09,19.58
1990-10,20.93
1990-11,59.02
1990-12,62.23
1991-01,28.02
1991-02,83.73
1991-03,655.1
1991-04,79
1991-05,118.66
1991-06,48.31
1991-07,0.08
1991-08,15.54
1991-09,3.72
1991-10,138.15
1991-11,108.3
1991-12,119.54
1992-01,65.18
1992-02,371.52
1992-03,136.8
1992-04,58.81
1992-05,10.39
1992-06,61.98
1992-07,1.71
1992-08,0.54
1992-09,2.67
1992-10,171.49
1992-11,41.46
1992-12,433.9
1993-01,520.9
1993-02,371.23
1993-03,221.24
1993-04,110.51
1993-05,76.75
1993-06,84.3
1993-07,0
1993-08,10.41
1993-09,0.97
1993-10,76.92
1993-11,104.5
1993-12,199.74
1994-01,85.28
1994-02,284.39
1994-03,46.46
1994-04,99.54
1994-05,61
1994-06,5.79
1994-07,0
1994-08,0
1994-09,24.59
1994-10,30.82
1994-11,362.93
1994-12,314.05
1995-01,772.42
1995-02,66.4
1995-03,730.64
1995-04,255.29
1995-05,160.15
1995-06,63.41
1995-07,2.89
1995-08,0
1995-09,0
1995-10,0
1995-11,31.63
1995-12,428.6
1996-01,450.56
1996-02,448.54
1996-03,217.84
1996-04,194.54
1996-05,277.86
1996-06,10.78
1996-07,1.11
1996-08,1.41
1996-09,26.51
1996-10,66.87
1996-11,281.69
1996-12,960.45
1997-01,772.31
1997-02,48.62
1997-03,67
1997-04,81.7
1997-05,35.66
1997-06,57.15
1997-07,3.49
1997-08,14.24
1997-09,14.55
1997-10,101.89
1997-11,216.07
1997-12,135.74
1998-01,551.15
1998-02,579.46
1998-03,212.48
1998-04,183.32
1998-05,192.62
1998-06,34.4
1998-07,0.1
1998-08,0.1
1998-09,60.6
1998-10,39.38
1998-11,329.33
1998-12,186.41
1999-01,365.73
1999-02,510.46
1999-03,151.44
1999-04,120.18
1999-05,63.12
1999-06,12.65
1999-07,2.16
1999-08,8.58
1999-09,3.46
1999-10,78.19
1999-11,149.89
1999-12,73.13
2000-01,453.39
2000-02,574.42
2000-03,124.14
2000-04,88.05
2000-05,120.65
2000-06,16.03
2000-07,0
2000-08,0
2000-09,47.03
2000-10,152.92
2000-11,50.82
2000-12,98.66
2001-01,145.85
2001-02,246.13
2001-03,106.63
2001-04,151.62
2001-05,12.85
2001-06,6.3
2001-07,0
2001-08,0
2001-09,17.93
2001-10,46.89
2001-11,279.39
2001-12,493.74
2002-01,180.54
2002-02,140.02
2002-03,262.73
2002-04,86.62
2002-05,66.62
2002-06,0
2002-07,0
2002-08,0
2002-09,0.34
2002-10,0
2002-11,241.83
2002-12,547.63
2003-01,167.95
2003-02,97.22
2003-03,199.78
2003-04,349.97
2003-05,82.34
2003-06,0
2003-07,0
2003-08,34.81
2003-09,6.37
2003-10,4.95
2003-11,137.66
2003-12,520.89
2004-01,173.67
2004-02,346.61
2004-03,50.23
2004-04,52.06
2004-05,29.81
2004-06,2.33
2004-07,0
2004-08,0
2004-09,11.07
2004-10,212.21
2004-11,109.16
2004-12,292.99
2005-01,305.37
2005-02,141.95
2005-03,347.52
2005-04,125.46
2005-05,267.48
2005-06,85.23
2005-07,0
2005-08,0
2005-09,17.99
2005-10,49.82
2005-11,152.5
2005-12,780.24
2006-01,368.27
2006-02,225.64
2006-03,443.97
2006-04,432.33
2006-05,49.66
2006-06,2.57
2006-07,0.01
2006-08,0
2006-09,0.4
2006-10,16.05
2006-11,186.97
2006-12,239.42
2007-01,70.27
2007-02,423.83
2007-03,47.84
2007-04,118.93
2007-05,49.33
2007-06,20.62
2007-07,0.66
2007-08,0
2007-09,35.26
2007-10,128.63
2007-11,49.24
2007-12,264.53
2008-01,359.08
2008-02,244.3
2008-03,70.76
2008-04,19.85
2008-05,36.71
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,58.34
2008-11,180.42
2008-12,236.17
2009-01,128.38
2009-02,356.98
2009-03,251.63
2009-04,65.46
2009-05,190.93
2009-06,13.68
2009-07,0.17
2009-08,2.11
2009-09,2.47
2009-10,124.56
2009-11,65.04
2009-12,251.26
2010-01,307.72
2010-02,191.82
2010-03,200.61
2010-04,248.52
2010-05,151.54
2010-06,9.23
2010-07,0
2010-08,1.86
2010-09,2.41
2010-10,273.14
2010-11,289.84
2010-12,572.33
2011-01,73.05
2011-02,251.79
2011-03,596.13
2011-04,126.71
2011-05,120.39
2011-06,98.25
2011-07,0
2011-08,0
2011-09,6.91
2011-10,133.08
2011-11,85.77
2011-12,7.25
2012-01,236.76
2012-02,70.93
2012-03,516.38
2012-04,249.34
2012-05,18.55
2012-06,42.18
2012-07,5.61
2012-08,1.04
2012-09,1.32
2012-10,112.19
2012-11,324.65
2012-12,581.21
2013-01,42.8
2013-02,27.04
2013-03,126.12
2013-04,53.94
2013-05,53.16
2013-06,69.7
2013-07,0
2013-08,0.28
2013-09,54.75
2013-10,28.89
2013-11,51.03
2013-12,46.6
2014-01,61.38
2014-02,403.66
2014-03,276.32
2014-04,117.91
2014-05,35.46
2014-06,0
2014-07,1.87
2014-08,11.32
2014-09,42.11
2014-10,61.71
2014-11,165.45
2014-12,408.57
2015-01,2.93
2015-02,211.54
2015-03,37.63
2015-04,100.49
2015-05,42.4
2015-06,20.44
2015-07,4.77
2015-08,2.22
2015-09,3.08
2015-10,50.75
2015-11,141.43
2015-12,391.23
2016-01,468.6
2016-02,71.87
2016-03,493.19
2016-04,97.49
2016-05,77.95
2016-06,5.46
2016-07,0
2016-08,0
2016-09,1.61
2016-10,419.36
2016-11,189.81
2016-12,372.9
2017-01,841.53
2017-02,735.95
2017-03,210.27
2017-04,295.13
2017-05,19.37
2017-06,23.35
2017-07,0
2017-08,0.37
2017-09,18.46
2017-10,24.26
2017-11,429.06
2017-12,27.14
2018-01,260.1
2018-02,44.42
2018-03,501.57
2018-04,171.01
2018-05,42.16
2018-06,1.33
2018-07,0.01
2018-08,0
2018-09,0
2018-10,30.02
2018-11,247.9
2018-12,125.25
2019-01,408.96
