PRISM Time Series Data,
1956-09,17.16
1956-10,212.43
1956-11,7.3
1956-12,82.94
1957-01,187.03
1957-02,358.25
1957-03,259.06
1957-04,120.6
1957-05,259.12
1957-06,3.77
1957-07,0
1957-08,0
1957-09,36.63
1957-10,129.15
1957-11,116.8
1957-12,279.63
1958-01,291.93
1958-02,513.6
1958-03,460.13
1958-04,265.9
1958-05,48.14
1958-06,48.3
1958-07,1.19
1958-08,3.56
1958-09,24.92
1958-10,16.71
1958-11,79.05
1958-12,72.66
1959-01,373.19
1959-02,334.37
1959-03,87.02
1959-04,69.4
1959-05,54.35
1959-06,0
1959-07,0
1959-08,5.26
1959-09,98.51
1959-10,0
1959-11,0
1959-12,98.95
1960-01,353.86
1960-02,415.66
1960-03,306.01
1960-04,96.45
1960-05,73.96
1960-06,0
1960-07,1.1
1960-08,0
1960-09,2.57
1960-10,23.48
1960-11,269.46
1960-12,115.05
1961-01,69.79
1961-02,178.32
1961-03,255.31
1961-04,96.87
1961-05,92.44
1961-06,17.99
1961-07,0.26
1961-08,14.22
1961-09,16.18
1961-10,73.63
1961-11,130.37
1961-12,165.7
1962-01,142.75
1962-02,594.11
1962-03,261.74
1962-04,63.25
1962-05,33.99
1962-06,2.17
1962-07,2.7
1962-08,7.31
1962-09,6.01
1962-10,550.44
1962-11,93.6
1962-12,203.35
1963-01,195.63
1963-02,309.69
1963-03,265.52
1963-04,381.9
1963-05,104.07
1963-06,33.94
1963-07,0
1963-08,0.8
1963-09,25.33
1963-10,97.93
1963-11,402.58
1963-12,42.48
1964-01,313.18
1964-02,19.39
1964-03,153.31
1964-04,58.98
1964-05,128.47
1964-06,52.28
1964-07,0
1964-08,1.05
1964-09,7.05
1964-10,46.19
1964-11,314.2
1964-12,1009.51
1965-01,365.56
1965-02,60.3
1965-03,111.47
1965-04,232.04
1965-05,15.12
1965-06,28.54
1965-07,0.81
1965-08,55.93
1965-09,13.49
1965-10,22.58
1965-11,319.73
1965-12,218.74
1966-01,176.6
1966-02,135.38
1966-03,97.08
1966-04,86.24
1966-05,24.11
1966-06,2.39
1966-07,0.97
1966-08,0
1966-09,2.55
1966-10,0
1966-11,413.36
1966-12,307.43
1967-01,493.21
1967-02,40.97
1967-03,365.78
1967-04,299
1967-05,59.04
1967-06,75.27
1967-07,0
1967-08,2.88
1967-09,20.13
1967-10,68.97
1967-11,128.11
1967-12,232.53
1968-01,297.94
1968-02,266.5
1968-03,162.68
1968-04,14.96
1968-05,34.91
1968-06,16.97
1968-07,0
1968-08,56.32
1968-09,2.71
1968-10,123.2
1968-11,228.95
1968-12,348.58
1969-01,814.82
1969-02,411.88
1969-03,88.46
1969-04,136.18
1969-05,6.66
1969-06,26.81
1969-07,1.3
1969-08,0
1969-09,2.11
1969-10,138.08
1969-11,93.07
1969-12,479.9
1970-01,805.21
1970-02,111.14
1970-03,141.32
1970-04,70.84
1970-05,14.72
1970-06,41.65
1970-07,0
1970-08,0
1970-09,0.87
1970-10,84.56
1970-11,441.56
1970-12,503.83
1971-01,191.44
1971-02,41.87
1971-03,286.12
1971-04,87.29
1971-05,72.78
1971-06,50.44
1971-07,0.2
1971-08,4.65
1971-09,27.36
1971-10,37.41
1971-11,174.35
1971-12,343.74
1972-01,141.34
1972-02,218.6
1972-03,98.21
1972-04,166.64
1972-05,26.51
1972-06,20.01
1972-07,0
1972-08,0.42
1972-09,69.67
1972-10,112.7
1972-11,285.94
1972-12,238.42
1973-01,499.77
1973-02,312.65
1973-03,178.35
1973-04,41.63
1973-05,25.69
1973-06,6.95
1973-07,0
1973-08,9.23
1973-09,52.61
1973-10,130.46
1973-11,655.19
1973-12,371.33
1974-01,328.27
1974-02,162.17
1974-03,485.78
1974-04,165.46
1974-05,4.89
1974-06,9.3
1974-07,109.39
1974-08,3.57
1974-09,0
1974-10,80.36
1974-11,98.83
1974-12,128.82
1975-01,149.48
1975-02,472.1
1975-03,394.04
1975-04,184.55
1975-05,35.17
1975-06,18.51
1975-07,3.04
1975-08,50
1975-09,4.68
1975-10,255.03
1975-11,102.73
1975-12,64.72
1976-01,29.62
1976-02,143.53
1976-03,93.56
1976-04,70.58
1976-05,6.39
1976-06,8.82
1976-07,0.01
1976-08,76.54
1976-09,36.54
1976-10,19.51
1976-11,62.41
1976-12,8.13
1977-01,114.61
1977-02,102.03
1977-03,90.54
1977-04,11.42
1977-05,131.64
1977-06,2.02
1977-07,1.85
1977-08,6.45
1977-09,32.22
1977-10,12.04
1977-11,174.21
1977-12,441.31
1978-01,560.77
1978-02,260.1
1978-03,321.95
1978-04,301.74
1978-05,38.62
1978-06,7.22
1978-07,0
1978-08,2.87
1978-09,113.18
1978-10,0
1978-11,139.22
1978-12,84.73
1979-01,314.11
1979-02,359.4
1979-03,229.57
1979-04,125.66
1979-05,95.61
1979-06,0.34
1979-07,8.9
1979-08,8.8
1979-09,2.36
1979-10,182.18
1979-11,178.24
1979-12,254.77
1980-01,606.67
1980-02,486.89
1980-03,156.23
1980-04,106.74
1980-05,86.87
1980-06,19.63
1980-07,22.68
1980-08,1.44
1980-09,2.81
1980-10,39.29
1980-11,55.79
1980-12,135.7
1981-01,315.74
1981-02,135.94
1981-03,240.51
1981-04,51.89
1981-05,82.88
1981-06,1.47
1981-07,0
1981-08,0
1981-09,29.37
1981-10,206.36
1981-11,573.29
1981-12,567.84
1982-01,327.7
1982-02,282.52
1982-03,463.91
1982-04,378.73
1982-05,9.83
1982-06,30
1982-07,4
1982-08,2.07
1982-09,120.28
1982-10,258.58
1982-11,342.06
1982-12,340.22
1983-01,299.69
1983-02,476.56
1983-03,568.96
1983-04,241.44
1983-05,51.34
1983-06,21.83
1983-07,11.31
1983-08,9.71
1983-09,55.52
1983-10,119.03
1983-11,642.38
1983-12,607.85
1984-01,19.3
1984-02,235.87
1984-03,160.37
1984-04,127.82
1984-05,53.51
1984-06,46.24
1984-07,1.29
1984-08,8.93
1984-09,6.05
1984-10,133.39
1984-11,408.64
1984-12,91.19
1985-01,40.48
1985-02,162
1985-03,274.96
1985-04,42.44
1985-05,5.03
1985-06,12.77
1985-07,0.21
1985-08,6.7
1985-09,62.7
1985-10,61.82
1985-11,296.51
1985-12,187.68
1986-01,254.68
1986-02,935.24
1986-03,355.53
1986-04,58.26
1986-05,55.05
1986-06,0
1986-07,0.76
1986-08,0
1986-09,154.65
1986-10,19.61
1986-11,27.62
1986-12,48.86
1987-01,185.14
1987-02,219.86
1987-03,222.53
1987-04,20.91
1987-05,56.03
1987-06,8.43
1987-07,4
1987-08,0
1987-09,0
1987-10,49.78
1987-11,97.96
1987-12,394.07
1988-01,260.78
1988-02,12.53
1988-03,52.03
1988-04,116.57
1988-05,77.61
1988-06,29.6
1988-07,1.29
1988-08,0
1988-09,5.62
1988-10,1.84
1988-11,449.42
1988-12,200.67
1989-01,109.96
1989-02,161.57
1989-03,587.23
1989-04,101.07
1989-05,36.92
1989-06,22.69
1989-07,0
1989-08,29.56
1989-09,89.82
1989-10,196.16
1989-11,130.48
1989-12,0
1990-01,241.99
1990-02,189.87
1990-03,120.2
1990-04,75.47
1990-05,192.57
1990-06,10.85
1990-07,7.44
1990-08,3.21
1990-09,19.58
1990-10,20.93
1990-11,59.02
1990-12,62.23
1991-01,28.02
1991-02,83.73
1991-03,655.1
1991-04,79
1991-05,118.66
1991-06,48.31
1991-07,0.08
1991-08,15.54
1991-09,3.72
1991-10,138.15
1991-11,108.3
1991-12,119.54
1992-01,65.18
1992-02,371.52
1992-03,136.8
1992-04,58.81
1992-05,10.39
1992-06,61.98
1992-07,1.71
1992-08,0.54
1992-09,2.67
1992-10,171.49
1992-11,41.46
1992-12,433.9
1993-01,520.9
1993-02,371.23
1993-03,221.24
1993-04,110.51
1993-05,76.75
1993-06,84.3
1993-07,0
1993-08,10.41
1993-09,0.97
1993-10,76.92
1993-11,104.5
1993-12,199.74
1994-01,85.28
1994-02,284.39
1994-03,46.46
1994-04,99.54
1994-05,61
1994-06,5.79
1994-07,0
1994-08,0
1994-09,24.59
1994-10,30.82
1994-11,362.93
1994-12,314.05
1995-01,772.42
1995-02,66.4
1995-03,730.64
1995-04,255.29
1995-05,160.15
1995-06,63.41
1995-07,2.89
1995-08,0
1995-09,0
1995-10,0
1995-11,31.63
1995-12,428.6
1996-01,450.56
1996-02,448.54
1996-03,217.84
1996-04,194.54
1996-05,277.86
1996-06,10.78
1996-07,1.11
1996-08,1.41
1996-09,26.51
1996-10,66.87
1996-11,281.69
1996-12,960.45
1997-01,772.31
1997-02,48.62
1997-03,67
1997-04,81.7
1997-05,35.66
1997-06,57.15
1997-07,3.49
1997-08,14.24
1997-09,14.55
1997-10,101.89
1997-11,216.07
1997-12,135.74
1998-01,551.15
1998-02,579.46
1998-03,212.48
1998-04,183.32
1998-05,192.62
1998-06,34.4
1998-07,0.1
1998-08,0.1
1998-09,60.6
1998-10,39.38
1998-11,329.33
1998-12,186.41
1999-01,365.73
1999-02,510.46
1999-03,151.44
1999-04,120.18
1999-05,63.12
1999-06,12.65
1999-07,2.16
1999-08,8.58
1999-09,3.46
1999-10,78.19
1999-11,149.89
1999-12,73.13
2000-01,453.39
2000-02,574.42
2000-03,124.14
2000-04,88.05
2000-05,120.65
2000-06,16.03
2000-07,0
2000-08,0
2000-09,47.03
2000-10,152.92
2000-11,50.82
2000-12,98.66
2001-01,145.85
2001-02,246.13
2001-03,106.63
2001-04,151.62
2001-05,12.85
2001-06,6.3
2001-07,0
2001-08,0
2001-09,17.93
2001-10,46.89
2001-11,279.39
2001-12,493.74
2002-01,180.54
2002-02,140.02
2002-03,262.73
2002-04,86.62
2002-05,66.62
2002-06,0
2002-07,0
2002-08,0
2002-09,0.34
2002-10,0
2002-11,241.83
2002-12,547.63
2003-01,167.95
2003-02,97.22
2003-03,199.78
2003-04,349.97
2003-05,82.34
2003-06,0
2003-07,0
2003-08,34.81
2003-09,6.37
2003-10,4.95
2003-11,137.66
2003-12,520.89
2004-01,173.67
2004-02,346.61
2004-03,50.23
2004-04,52.06
2004-05,29.81
2004-06,2.33
2004-07,0
2004-08,0
2004-09,11.07
2004-10,212.21
2004-11,109.16
2004-12,292.99
2005-01,305.37
2005-02,141.95
2005-03,347.52
2005-04,125.46
2005-05,267.48
2005-06,85.23
2005-07,0
2005-08,0
2005-09,17.99
2005-10,49.82
2005-11,152.5
2005-12,780.24
2006-01,368.27
2006-02,225.64
2006-03,443.97
2006-04,432.33
2006-05,49.66
2006-06,2.57
2006-07,0.01
2006-08,0
2006-09,0.4
2006-10,16.05
2006-11,186.97
2006-12,239.42
2007-01,70.27
2007-02,423.83
2007-03,47.84
2007-04,118.93
2007-05,49.33
2007-06,20.62
2007-07,0.66
2007-08,0
2007-09,35.26
2007-10,128.63
2007-11,49.24
2007-12,264.53
2008-01,359.08
2008-02,244.3
2008-03,70.76
2008-04,19.85
2008-05,36.71
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,58.34
2008-11,180.42
2008-12,236.17
2009-01,128.38
2009-02,356.98
2009-03,251.63
2009-04,65.46
2009-05,190.93
2009-06,13.68
2009-07,0.17
2009-08,2.11
2009-09,2.47
2009-10,124.56
2009-11,65.04
2009-12,251.26
2010-01,307.72
2010-02,191.82
2010-03,200.61
2010-04,248.52
2010-05,151.54
2010-06,9.23
2010-07,0
2010-08,1.86
2010-09,2.41
2010-10,273.14
2010-11,289.84
2010-12,572.33
2011-01,73.05
2011-02,251.79
2011-03,596.13
2011-04,126.71
2011-05,120.39
2011-06,98.25
2011-07,0
2011-08,0
2011-09,6.91
2011-10,133.08
2011-11,85.77
2011-12,7.25
2012-01,236.76
2012-02,70.93
2012-03,516.38
2012-04,249.34
2012-05,18.55
2012-06,42.18
2012-07,5.61
2012-08,1.04
2012-09,1.32
2012-10,112.19
2012-11,324.65
2012-12,581.21
2013-01,42.8
2013-02,27.04
2013-03,126.12
2013-04,53.94
2013-05,53.16
2013-06,69.7
2013-07,0
2013-08,0.28
2013-09,54.75
2013-10,28.89
2013-11,51.03
2013-12,46.6
2014-01,61.38
2014-02,403.66
2014-03,276.32
2014-04,117.91
2014-05,35.46
2014-06,0
2014-07,1.87
2014-08,11.32
2014-09,42.11
2014-10,61.71
2014-11,165.45
2014-12,408.57
2015-01,2.93
2015-02,211.54
2015-03,37.63
2015-04,100.49
2015-05,42.4
2015-06,20.44
2015-07,4.77
2015-08,2.22
2015-09,3.08
2015-10,50.75
2015-11,141.43
2015-12,391.23
2016-01,468.6
2016-02,71.87
2016-03,493.19
2016-04,97.49
2016-05,77.95
2016-06,5.46
2016-07,0
2016-08,0
2016-09,1.61
2016-10,419.36
2016-11,189.81
2016-12,372.9
2017-01,841.53
2017-02,735.95
2017-03,210.27
2017-04,295.13
2017-05,19.37
2017-06,23.35
2017-07,0
2017-08,0.37
2017-09,18.46
2017-10,24.26
2017-11,429.06
2017-12,27.14
2018-01,260.1
2018-02,44.42
2018-03,501.57
2018-04,171.01
2018-05,42.16
2018-06,1.33
2018-07,0.01
2018-08,0
2018-09,0
2018-10,30.02
2018-11,247.9
2018-12,125.25
2019-01,408.96
2019-02,679.91
2019-03,258.24
2019-04,98.08
2019-05,197.91
2019-06,24.39
2019-07,0
2019-08,0
2019-09,84.81
2019-10,5.26
2019-11,62.6
2019-12,336.35
2020-01,146.66
