"Fire","Patch","Elevation","Nearby_Easting","Nearby_Northing","Sdlg","Species","Slope.Deg","Aspect.deg","Ht.cm","BasDia.cm","LastYearGrth.cm","HTLCB","Dia_at_2016_growth","Dia_at_2015_growth","Ht2015.meas2016","Note1","Note2","Note3_Light","DataSheet1","Light_File","DIFN","FirePatch","return","Date1","Date2","personel2","personel1","Time1","Time2","Photo","DataSheet2","ShrubSpp03","Cov1","Ht1","Cov1.2","Ht1.2","Cov1.3","Ht1.3","DIFN.all","ref","Date","LAI.53","DIFN.53","Years"
"CLVD","N",1626.5,724392,4303842,"11","PIPO",0,0,27,0.9,2.64,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",24,0.245,"CLVD-N","0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",400,70.5,930,87.6344086021505,1300,101.076923076923,0.245,0,"20160610 05:38:41",1.99,0.287,24
"CLVD","N",1632,724392,4303842,"12","ABCO",0,0,123,4.24,16.3,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",28,0.966,"CLVD-N","0",2016-05-31,9999-09-09,"0","CT ",16:22:00,01:00:00,"0","NA","CEPR",350,7.28571428571429,510,6.76470588235294,810,10.5925925925926,0.966,0,"20160610 05:57:28",0.01,0.991,24
"CLVD","N",1632,724392,4303842,"13","ABCO",0,0,11.8,0.65,2.1,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",0,0,"CLVD-N","0",2016-05-31,9999-09-09,"0","CT ",16:22:00,01:00:00,"0","NA","CEPR",350,7.28571428571429,510,6.76470588235294,810,10.5925925925926,0,0,NA,NA,NA,24
"CLVD","N",1632,724392,4303842,"14","PSME",0,0,40,1.41,9.96,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",0,0,"CLVD-N","0",2016-05-31,9999-09-09,"0","CT ",16:22:00,01:00:00,"0","NA","CEPR",360,5,630,5.71428571428571,770,5.84415584415584,0,0,NA,NA,NA,24
"CLVD","N",1626.5,724392,4303842,"15","ABCO",0,0,46,1.28,7.9,0,NA,NA,NA,"broken top","center stem missing, measured top of branch","","Data_Sheet_CLVD_N_May_31",25,0.606,"CLVD-N","0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","CEPR",570,19.0350877192982,990,30,1330,43.9097744360902,0.606,0,"20160610 05:42:30",0.54,0.719,24
"CLVD","N",1626.5,724392,4303842,"16","PILA",0,0,16.2,0.52,1.35,0,NA,NA,NA," missing slope and aspect, could use nearby","","","Data_Sheet_CLVD_N_May_31",23,0.204,"CLVD-N","0",2016-05-31,2016-07-26,"VF HH","CT ",16:22:00,08:01:00,"1","NA","ARPA",480,105.625,970,109.484536082474,1460,108.972602739726,0.204,0,"20160610 05:34:13",2.38,0.239,24
"CLVD","N",1621,0,0,"275","ABCO",12,50,28,0.74,0.8,12,0.5,0.58,19,"forked top","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",252,0.615,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","CEPR",470,17.936170212766,880,28.8636363636364,1050,29.7142857142857,0.615,0,"20160727 06:13:51",0.54,0.699,24
"CLVD","N",1621,0,0,"276","ABCO",26,18,14,0.56,1.29,5,0.38,0.4,10,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",244,0.315,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",290,87.5862068965517,670,90.7462686567164,910,98.1318681318681,0.315,0,"20160727 05:30:38",1.66,0.339,24
"CLVD","N",1621,0,0,"277","PIPO",18,18,84,2.48,3.43,38,0.86,0.93,73,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",245,0.701,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",390,57.9487179487179,790,94.5569620253165,1150,107.739130434783,0.701,0,"20160727 05:38:09",0.36,0.804,24
"CLVD","N",1621,0,0,"278","PIPO",18,18,98,2.7,3.93,66,1.16,1.36,82,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",246,0.734,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",200,78.5,540,96.2962962962963,820,114.634146341463,0.734,0,"20160727 05:42:01",0.31,0.813,24
"CLVD","N",1621,0,0,"279","PIPO",22,347,115,3.12,11.11,21,1.35,1.41,92,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",247,0.342,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",390,125.384615384615,830,133.253012048193,1160,140.775862068966,0.342,0,"20160727 05:45:56",1.53,0.369,24
"CLVD","N",1621,0,0,"280","PIPO",21,354,70,1.3,2.35,60,0.51,0.57,61,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",248,0.377,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",520,113.461538461538,900,119.444444444444,1190,117.81512605042,0.377,0,"20160727 05:50:19",1.4,0.399,24
"CLVD","N",1621,0,0,"281","ABCO",19,348,23,0.68,4.15,3,0.39,0.55,13,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",249,0.182,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",420,102.380952380952,660,101.515151515152,920,111.739130434783,0.182,0,"20160727 05:54:53",2.58,0.195,24
"CLVD","N",1621,0,0,"282","ABCO",22,67,50,1.09,8.29,10,0.66,0.77,35,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",250,0.35,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",500,96,800,105.375,1110,108.018018018018,0.35,0,"20160727 06:03:40",1.38,0.409,24
"CLVD","N",1621,0,0,"283","ABCO",15,39,34,0.56,3.87,5,0.25,0.43,27,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",251,0.229,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","CECO",370,78.1081081081081,700,83,1060,89.1509433962264,0.229,0,"20160727 06:07:33",2.02,0.261,24
"CLVD","N",1621,0,0,"284","ABCO",13,37,50,0.95,7.17,23,0.49,0.68,35,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",253,0.351,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",400,103.75,760,109.210526315789,1120,120.714285714286,0.351,0,"20160727 06:20:38",1.36,0.409,24
"CLVD","N",1621,0,0,"285","PIPO",20,33,151,5.47,12.62,55,1.95,2.39,105,"","","","Data_Sheet_CLVD_N_JUL_26_2016(1)",0,0,"CLVD-N","0",2016-07-26,9999-09-09,"0","VF HH",08:01:00,01:00:00,"1","NA","ARPA",340,62.9411764705882,680,78.5294117647059,970,98.9175257731959,0,0,NA,NA,NA,24
"AMRC","A",1658,704735,4339721,"28","ABCO",28,250,84,1.92,16,0,NA,NA,NA,"return","","","Date_Sheet_AMR_Jun12",0,0,"AMRC-A","0",2016-06-12,9999-09-09,"0","CT ",16:23:00,01:00:00,"0","NA","CECO",380,88.4210526315789,720,88.6111111111111,1040,87.7884615384615,0,0,NA,NA,NA,8
"AMRC","NW",1598,739022,4298073,"35","PILA",28,250,32,1,2.3,0,NA,NA,NA,"hard to tell where last years growth started ","","","Data_Sheet_AMRC_NW_JUN_21_3",30,0.734,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",180,45,240,49.5833333333333,350,63.7142857142857,0.734,0,"20160622 05:03:25",0.39,0.78,8
"AMRC","NW",1598,739022,4298073,"36","PIPO",28,250,32,1.35,5.57,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_4",31,0,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",0,0,50,30,140,23.5714285714286,0,0,"20160622 05:08:28",0,0,8
"AMRC","NW",1598,739022,4298073,"37","PSME",28,250,23,0.88,2.87,0,NA,NA,NA,"","log real nearby, but not within 0.5 m","","Data_Sheet_AMRC_NW_JUN_21_4",32,0.533,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","none",0,0,0,0,0,0,0.533,0,"20160622 05:10:30",0.86,0.627,8
"AMRC","NW",1598,739022,4298073,"38","PIPO",28,250,24,1.21,3.6,0,NA,NA,NA,"no main stem","log real nearby, but not within 0.5 m","","Data_Sheet_AMRC_NW_JUN_21_4",33,0.86,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",0,0,0,0,150,56.6666666666667,0.86,0,"20160622 05:12:37",0.1,0.936,8
"AMRC","NW",1598,739022,4298073,"39","PIPO",28,250,50,1.7,4.29,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_4",34,0.714,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",0,0,70,90,250,97.2,0.714,0,"20160622 05:14:35",0.42,0.765,8
"AMRC","NW",1598,739022,4298073,"40","PIPO",28,250,22,0.68,2.81,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_4",35,0.708,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",100,78,330,67.8787878787879,530,85.6603773584906,0.708,0,"20160622 05:16:30",0.43,0.756,8
"AMRC","NW",1598,739022,4298073,"41","PIPO",22,270,91,3.5,11.12,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_4",36,0.369,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",40,60,240,62.9166666666667,580,64.1379310344828,0.369,0,"20160622 05:18:30",1.4,0.446,8
"AMRC","NW",1598,739022,4298073,"42","PIPO",22,270,42,1.09,10.5,0,NA,NA,NA,"","leaf near lens on last measurement","","Data_Sheet_AMRC_NW_JUN_21_5",37,0.093,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",250,66.4,510,71.3725490196078,840,72.1428571428571,0.093,0,"20160622 05:20:30",3.4,0.106,8
"AMRC","NW",1598,739022,4298073,"43","PIPO",6,287,12,0.53,3.59,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",38,0.559,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",20,50,120,75,260,77.6923076923077,0.559,0,"20160622 05:23:41",0.8,0.624,8
"AMRC","NW",1598,739022,4298073,"44","PIPO",22,22,18,0.59,2.19,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",39,0.871,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",30,60,140,59.2857142857143,360,48.6111111111111,0.871,0,"20160622 05:26:26",0.15,0.903,8
"AMRC","NW",1598,739022,4298073,"45","PILA",22,22,45,0.81,7.45,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",40,0.142,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",200,60,300,60,440,52.2727272727273,0.142,0,"20160622 05:28:29",0,0,8
"AMRC","NW",1598,739022,4298073,"46","ABCO",22,22,48,1.7,3.6,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",41,0.801,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","ARPA",80,12.5,200,32,420,45.2380952380952,0.801,0,"20160622 05:31:33",0.23,0.865,8
"AMRC","NW",1598,739022,4298073,"47","PSME",19,22,59,1.48,7.92,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",42,0.938,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",0,0,110,40,280,46.7857142857143,0.938,0,"20160622 05:33:11",0.08,0.949,8
"AMRC","NW",1598,739022,4298073,"48","ABCO",19,22,68,1.95,12.75,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",43,0.841,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","LIDE",20,60,90,62.7777777777778,270,43.8888888888889,0.841,0,"20160622 05:35:00",0.22,0.867,8
"AMRC","NW",1598,739022,4298073,"49","PSME",19,22,15,0.35,2.75,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",44,0.471,"AMRC-NW","0",2016-06-21,9999-09-09,"0","CT vf",08:38:00,01:00:00,"0","NA","ARPA",180,71.6666666666667,220,67.7272727272727,230,65.6521739130435,0.471,0,"20160622 05:36:49",1,0.513,8
"AMRC","NE",1966,739619,4297391,"50","PILA",17,188,56,0.91,6.77,0,0.6,0.74,43,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",194,0.401,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",310,45.1612903225806,590,46.4406779661017,970,50.8247422680412,0.401,0,"20160720 05:22:22",1.27,0.438,8
"AMRC","NE",1966,739619,4297391,"51","ABCO",17,188,51,1.18,7.7,0,0.61,0.89,47,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",195,0.042,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",270,35.1851851851852,600,38.8333333333333,990,41.3131313131313,0.042,0,"20160720 05:29:22",0.78,0.607,8
"AMRC","NE",1966,739619,4297391,"52","ABCO",17,188,38,0.8,4.55,0,0.39,0.5,27,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",196,0.28,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",360,46.9444444444444,620,47.9032258064516,930,48.2795698924731,0.28,0,"20160720 05:31:57",1.8,0.32,8
"AMRC","NE",1966,739619,4297391,"53","ABCO",17,188,27,0.69,10.13,0,0.44,0.87,8,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",197,0.154,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",380,55,700,51.4285714285714,1020,51.7647058823529,0.154,0,"20160720 05:35:20",2.69,0.173,8
"AMRC","NE",1966,739619,4297391,"54","ABCO",17,188,34,1.05,2.1,0,0.44,0.52,32,"54 and 55 very close","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",198,0.32,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",270,45.1851851851852,600,49.5,880,50.6818181818182,0.32,0,"20160720 05:38:01",1.59,0.349,8
"AMRC","NE",1966,739619,4297391,"55","ABCO",17,188,58,1.2,6.39,0,0.58,0.73,50,"54 and 55 very close","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",199,0.337,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",270,45.1851851851852,600,49.5,880,50.6818181818182,0.337,0,"20160720 05:40:08",1.57,0.35,8
"AMRC","NE",1966,739619,4297391,"56","ABCO",17,188,70,1.19,13.49,0,0.57,0.69,60,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",200,0.248,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",270,51.4814814814815,520,45.9615384615385,810,48.3950617283951,0.248,0,"20160720 05:42:15",1.99,0.269,8
"AMRC","NE",1966,739619,4297391,"57","ABCO",17,188,28,0.64,2.46,0,0.4,0.5,22,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",201,0.234,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",310,35.4838709677419,660,39.6969696969697,960,41.5625,0.234,0,"20160720 05:44:30",2.07,0.26,8
"AMRC","NE",1966,739619,4297391,"58","ABCO",17,188,30,0.51,3.03,0,0.37,0.46,25,"","revisited for 2014/2016 on July 20 2016","","Data_Sheet_AMRC_NE_JUN_21_1",202,0.149,"AMRC-NE","0",2016-06-21,9999-09-09,"0","CT vf",14:33:00,01:00:00,"0","NA","CHSE",380,43.1578947368421,620,45.4838709677419,920,48.4782608695652,0.149,0,"20160720 05:46:46",2.78,0.167,8
"AMRC","NW",1601,0,0,"60","CADE",14,127,14.36,0.75,0,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",49,0.648,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARNE",170,15.2941176470588,320,20.625,470,19.7872340425532,0.648,0,"20160622 06:04:03",0.5,0.733,8
"AMRC","NW",1601,0,0,"61","ABCO",14,127,29,0.77,4.49,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",51,0.413,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",260,43.4615384615385,310,44.5161290322581,360,42.7777777777778,0.413,0,"20160622 06:07:09",1.17,0.461,8
"AMRC","NW",1601,0,0,"62","PIPO",14,135,52,1.24,9.67,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",52,0.338,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",220,50,410,48.0487804878049,640,51.25,0.338,0,"20160622 06:10:32",1.45,0.383,8
"AMRC","NW",1601,0,0,"63","PIPO",14,140,15,0.45,2.72,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_21_5",53,0.726,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",250,18,350,28,540,36.2962962962963,0.726,0,"20160622 06:13:36",0.33,0.816,8
"AMRC","NW",1601,0,0,"64","PIPO",14,140,78,2.69,14.95,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",54,0.292,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",270,51.4814814814815,370,67.2972972972973,480,66.25,0.292,0,"20160622 06:17:07",1.69,0.335,8
"AMRC","NW",1601,0,0,"65","PIPO",14,140,67,1.59,16.21,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",55,0.298,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",190,70.5263157894737,280,72.5,380,69.2105263157895,0.298,0,"20160622 06:23:00",1.67,0.345,8
"AMRC","NW",1601,0,0,"66","PILA",9,158,20,0.44,3.44,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",56,0.311,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",510,55.8823529411765,650,50.3076923076923,660,49.6969696969697,0.311,0,"20160622 06:31:04",1.65,0.332,8
"AMRC","NW",1601,0,0,"67","PILA",12,185,31,0.97,2.47,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",58,0.736,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",240,45.8333333333333,350,46.2857142857143,350,46.2857142857143,0.736,0,"20160622 06:36:20",0.34,0.801,8
"AMRC","NW",1601,0,0,"68","CADE",12,185,24,0.93,0,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",59,0.369,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",220,64.5454545454545,430,48.6046511627907,570,43.5087719298246,0.369,0,"20160622 06:55:50",1.4,0.408,8
"AMRC","NW",1601,0,0,"69","PIPO",12,185,14,0.51,1.79,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",60,0.385,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",130,75.3846153846154,230,77.3913043478261,300,65.3333333333333,0.385,0,"20160622 06:58:24",1.31,0.417,8
"AMRC","NW",1601,0,0,"70","CADE",12,185,37,1.33,0,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",61,0.539,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",220,40.4545454545455,360,44.7222222222222,450,49.7777777777778,0.539,0,"20160622 07:00:58",0.8,0.591,8
"AMRC","NW",1601,0,0,"71","PIPO",14,235,29,0.76,3.81,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",62,0.182,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",430,68.1395348837209,700,61.7142857142857,1070,54.8598130841121,0.182,0,"20160622 07:04:30",2.43,0.215,8
"AMRC","NW",1601,0,0,"72","PIPO",12,210,23,0.78,3.94,0,NA,NA,NA,"","","","Data_Sheet_AMRC_NW_JUN_22_1",63,0.427,"AMRC-NW","0",2016-06-22,9999-09-09,"0","CT vf ",08:21:00,01:00:00,"0","NA","ARPA",210,41.9047619047619,550,54.9090909090909,810,59.3827160493827,0.427,0,"20160622 07:08:40",1.11,0.477,8
"AMRC","2",1672,0,0,"73","ABCO",21,299,55,1.06,10.26,0,0.55,0.68,37,"","","returned on July 21, 2016","Data_Sheet_AMRC_NW_JUN_22_1",64,0.088,"AMRC-2","0",2016-06-22,9999-09-09,"0","CT vf ",13:31:00,01:00:00,"0","NA","CECO",400,90,770,83.5064935064935,1070,84.018691588785,0.088,0,"20160623 05:15:39",3.79,0.089,8
"AMRC","2",1672,0,0,"74","ABCO",21,299,57,1.1,8.74,0,0.38,0.54,39,"same shrubs as 73","","returned on July 21, 2016","Data_Sheet_AMRC_NW_JUN_22_1",64,0.088,"AMRC-2","0",2016-06-22,9999-09-09,"0","CT vf ",13:31:00,01:00:00,"0","NA","CECO",400,90,770,83.5064935064935,1070,84.018691588785,0.088,0,"20160623 05:15:39",3.79,0.089,8
